Название вакансии,URL,Название компании,Описание
Программист Python,https://samara.hh.ru/vacancy/29785017?query=python," Insilico Medicine, Inc",Алгоритмическая подготовка. Техническое образование или эквивалентный практический опыт. Хороший опыт разработки на Python. Опыт разработки веб-приложений.
Python-разработчик,https://samara.hh.ru/vacancy/29580287?query=python,ООО Речевая аналитика,"Разработка бекенда веб приложения на Python 3. Покрытие тестами своего кода. Написание API для фронтенда. Опыт работы Python разработчиком от 1 года. Отличное знание Python и его инфраструктуры (стандартная библиотека, pip, virtualenv). Уверенное владение командной..."
Python разработчик,https://samara.hh.ru/vacancy/29848765?query=python,ООО ФИНТЕХ,Поддержка и развитие существующего проекта на Python/Django. Опыт коммерческой разработки. Активная разработка на серверном Python в течение 1 года. Знание актуальных фреймворков и библиотек. Умение писать чистый...
Программист Python,https://samara.hh.ru/vacancy/29878451?query=python,ООО ВойсЛинк,"Разработка программного обеспечения встраиваемых систем под Linux и десктопных приложений под Windows. Тестирование, поддержка, написание сопроводительной документации. Опыт коммерческой разработки на Python от 2-х лет. Опыт работы с реляционными базами данных. Навыки администрирования, опыт разработки приложений..."
Junior python разработчик,https://samara.hh.ru/vacancy/29144521?query=python,ООО Синдекс,"Сопровождение текущих проектов, доработка по новым требованиям. Внедрение в проекты готовых моделей машинного обучения, расчеты новых индексов. Написание кода для... Опыт работы с ElasticSearch. Docker, написание микросервисов. Python 3.6+ и работа с asyncio, aiohttp или tornado. Знание SQL."
Python/Django разработчик,https://samara.hh.ru/vacancy/29567508?query=python,ООО ИДАГРУПП,Участие в написании ТЗ. Участие в переговорах с крупными подрядчиками вместе с менеджером проекта. Разработка и проектирование проекта от идеи... Знание Python 3.5+. Соблюдение PEP8. Уверенное знание Django 1.11+. Работа со стэком Celery / RabbitMQ. 
Программист Python,https://samara.hh.ru/vacancy/29569688?query=python,ЗАО Портлаб,"REST API. Фронтенд на React.js. Разработка бекенда приложения на Python 3. Взаимодействие с приборами по последовательному порту и CAN шине.  Уверенное владение Python 3. Интерес к предмету аналитической химии. Опыт разработки бэкенда, REST API сервисов. Гибкость, доброжелательность, умение работать в..."
Python Developer,https://samara.hh.ru/vacancy/29843960?query=python, SCDE VENTURES PTE. LTD.,Участие в разработке back-end существующих и новых продуктов и решений компании. Участие в реформировании архитектуры существующих решений.  Опыт промышленной разработки ПО не менее 2 лет. Отличное знание Python и ООП. Опыт разработки асинхронных и многопоточных приложений c...
Junior Python developer,https://samara.hh.ru/vacancy/29870653?query=python, amoCRM," Что нужно уметь: Linux, работа с командной строкой. Навыки системного администрирования будут большим плюсом. MySQL. Большим плюсом будет опыт работы..."
Python Developer,https://samara.hh.ru/vacancy/29731887?query=python,ООО Когнитивные системы,"Участие в полном цикле разработки: от проектирования архитектуры до тестирования и деплоя. Опыт работы с библиотеками: numpy, pandas. Full Stack Frontend (Python, SQL, Mongo, Redis, HTML5, JS (jQuery, React), CSS3). "
